Title,year,Genre,Lead Cast,Director,Positive out of 10 Representation,Focus Area,Box Office Revenue (in M),community,Label
lost   stars,01-04-2012,comedy,william johnson isabella brown,michael carter,7.68,cultural,345.06,american,lost   stars _american
legends   fallen,21-12-1985,action,mia davis noah jones,michael carter,9.63,cultural,488.83,american,legends   fallen _american
legends   fallen,27-06-2006,scifi,liam johnson isabella johnson,steven miller,8.5,age,14.42,american,legends   fallen _american
whispers   wind,05-12-1991,scifi,james brown emma williams,daniel ford,8.87,cultural,77.99,european,whispers   wind _european
breaking chains,20-01-2004,drama,mia miller william hernandez,emily adams,9.4,gender,404.11,european,breaking chains _european
final hour,11-03-1997,documentary,emma hernandez john johnson,catherine hayes,7.6,race,114.39,African,final hour _African
golden horizon,06-03-2011,scifi,sophia smith olivia smith,steven miller,6.14,age,15.64,american,golden horizon _american
golden horizon,23-01-1985,action,mia brown emma brown,michael carter,9.8,race,133.22,american,golden horizon _american
whispers   wind,21-01-2005,drama,james smith william davis,emily adams,8.71,gender,410.87,european,whispers   wind _european
breaking chains,27-01-2000,action,liam jones isabella miller,michael carter,9.43,gender,68.27,american,breaking chains _american
final hour,27-03-1998,documentary,john brown james brown,emily adams,7.68,disability,330.02,european,final hour _european
breaking chains,11-08-1986,drama,liam martinez john smith,michael carter,7.48,cultural,457.05,american,breaking chains _american
whispers   wind,24-03-2012,thriller,isabella hernandez james jones,daniel ford,5.39,gender,54.29,european,whispers   wind _european
forgotten voyage,05-08-2018,thriller,noah williams olivia martinez,catherine hayes,8.8,race,268.99,African,forgotten voyage _African
whispers   wind,25-03-1995,action,emma miller sophia garcia,daniel ford,9.26,disability,323.81,european,whispers   wind _european
secrets   valley,20-09-1996,comedy,liam davis william jones,laura scott,9.56,lgbtq,193.13,African,secrets   valley _African
breaking chains,08-06-1989,thriller,james martinez sophia garcia,emily adams,5.25,age,208.64,european,breaking chains _european
legends   fallen,17-02-1982,documentary,olivia miller isabella martinez,daniel ford,5.73,age,336.46,european,legends   fallen _european
breaking chains,02-10-2023,thriller,sophia davis noah martinez,daniel ford,9.45,gender,44.18,european,breaking chains _european
forgotten voyage,10-09-2004,fantasy,william miller john miller,emily adams,8.9,disability,139.88,european,forgotten voyage _european
legends   fallen,01-07-1996,fantasy,olivia jones mia smith,michael carter,7.11,cultural,32.64,american,legends   fallen _american
final hour,18-04-1997,comedy,liam davis isabella williams,catherine hayes,6.75,lgbtq,414.27,African,final hour _African
forgotten voyage,05-02-1980,thriller,isabella johnson liam smith,catherine hayes,6.57,lgbtq,493.83,African,forgotten voyage _African
legends   fallen,23-07-2012,fantasy,noah williams isabella martinez,emily adams,7.91,lgbtq,137.58,european,legends   fallen _european
golden horizon,02-09-2012,thriller,isabella garcia sophia garcia,catherine hayes,8.44,disability,364.27,African,golden horizon _African
forgotten voyage,12-01-1997,drama,james brown sophia johnson,steven miller,5.1,cultural,134.66,american,forgotten voyage _american
golden horizon,10-11-1998,scifi,olivia jones sophia williams,emily adams,5.08,cultural,324.77,european,golden horizon _european
lost   stars,18-03-1992,action,william hernandez olivia jones,daniel ford,7.73,lgbtq,399.07,european,lost   stars _european
breaking chains,18-03-2005,thriller,noah davis noah brown,michael carter,6.87,disability,114.48,american,breaking chains _american
forgotten voyage,25-08-2019,comedy,olivia williams isabella jones,daniel ford,9.96,lgbtq,272.29,european,forgotten voyage _european
legends   fallen,27-01-1988,drama,mia martinez william davis,laura scott,5.27,age,63.18,African,legends   fallen _African
golden horizon,26-07-1988,documentary,isabella brown william brown,michael carter,8.62,disability,273.06,american,golden horizon _american
echoes  eternity,23-05-1999,action,william martinez noah jones,steven miller,7.53,disability,274.68,american,echoes  eternity _american
